Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Global_horizn_irradiance Direct_horizn_irradiance Direct_tilted_irradiance Difuse_tilted_irradiance Global_tilted_irradiance Global_tilt_photon_irrad Beam_normal_photon_irrad Difuse_horiz_photn_irrad Globl_horizn_photon_flux Dirct_normal_photon_flux Dif_horizntl_photon_flux Global_tiltd_photon_flux
.3200E+03 .8369E+00 .1826E+00 .2460E+00 .4286E+00 .1826E+00 .0000E+00 .1658E+00 .1658E+00 .2671E+14 .2942E+14 .3962E+14 .5702E+16 .2430E+16 .3272E+16 .2206E+16
.3210E+03 .7156E+00 .1758E+00 .2392E+00 .4150E+00 .1758E+00 .0000E+00 .1611E+00 .1611E+00 .2603E+14 .2841E+14 .3865E+14 .5574E+16 .2361E+16 .3213E+16 .2164E+16
.3220E+03 .8151E+00 .1940E+00 .2579E+00 .4519E+00 .1940E+00 .0000E+00 .1741E+00 .1741E+00 .2822E+14 .3145E+14 .4180E+14 .6125E+16 .2630E+16 .3496E+16 .2360E+16
.3230E+03 .6403E+00 .1600E+00 .2117E+00 .3716E+00 .1600E+00 .0000E+00 .1430E+00 .1430E+00 .2325E+14 .2601E+14 .3442E+14 .5085E+16 .2189E+16 .2896E+16 .1957E+16
.3240E+03 .7817E+00 .2102E+00 .2865E+00 .4967E+00 .2102E+00 .0000E+00 .1929E+00 .1929E+00 .3147E+14 .3429E+14 .4673E+14 .6859E+16 .2903E+16 .3956E+16 .2664E+16
.3250E+03 .7845E+00 .2021E+00 .2608E+00 .4629E+00 .2021E+00 .0000E+00 .1767E+00 .1767E+00 .2891E+14 .3307E+14 .4266E+14 .6452E+16 .2817E+16 .3635E+16 .2462E+16
.3260E+03 .1053E+01 .2913E+00 .3871E+00 .6784E+00 .2913E+00 .0000E+00 .2614E+00 .2614E+00 .4290E+14 .4780E+14 .6354E+14 .9543E+16 .4097E+16 .5446E+16 .3677E+16
.3270E+03 .1010E+01 .2869E+00 .3784E+00 .6653E+00 .2869E+00 .0000E+00 .2557E+00 .2557E+00 .4210E+14 .4722E+14 .6230E+14 .9445E+16 .4073E+16 .5373E+16 .3631E+16
.3280E+03 .9535E+00 .2627E+00 .3372E+00 .5999E+00 .2627E+00 .0000E+00 .2286E+00 .2286E+00 .3774E+14 .4338E+14 .5567E+14 .8595E+16 .3764E+16 .4831E+16 .3275E+16
.3290E+03 .1025E+01 .3039E+00 .3936E+00 .6975E+00 .3039E+00 .0000E+00 .2666E+00 .2666E+00 .4415E+14 .5034E+14 .6519E+14 .1009E+17 .4394E+16 .5692E+16 .3854E+16
.3300E+03 .1163E+01 .3493E+00 .4468E+00 .7961E+00 .3493E+00 .0000E+00 .3030E+00 .3030E+00 .5034E+14 .5802E+14 .7423E+14 .1162E+17 .5097E+16 .6520E+16 .4422E+16
.3310E+03 .1006E+01 .2978E+00 .3727E+00 .6706E+00 .2978E+00 .0000E+00 .2534E+00 .2534E+00 .4223E+14 .4963E+14 .6211E+14 .9874E+16 .4385E+16 .5488E+16 .3732E+16
.3320E+03 .1007E+01 .3117E+00 .3903E+00 .7020E+00 .3117E+00 .0000E+00 .2653E+00 .2653E+00 .4434E+14 .5210E+14 .6522E+14 .1043E+17 .4631E+16 .5799E+16 .3942E+16
.3330E+03 .9796E+00 .3075E+00 .3805E+00 .6880E+00 .3075E+00 .0000E+00 .2591E+00 .2591E+00 .4343E+14 .5155E+14 .6379E+14 .1032E+17 .4610E+16 .5705E+16 .3884E+16
.3340E+03 .9423E+00 .2942E+00 .3573E+00 .6514E+00 .2942E+00 .0000E+00 .2438E+00 .2438E+00 .4099E+14 .4946E+14 .6007E+14 .9855E+16 .4451E+16 .5405E+16 .3688E+16
